"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-11-30,"Vallejo, CA","CA",119,2156,0.00889096864763687,0.0107829348335677,0.0335570469798658,124549
2018-11-30,"Mobile, AL","AL",120,937,0.0107874865156419,0.0162689804772234,-0.0105596620908131,139685
2018-11-30,"Reading, PA","PA",121,1254,0.00803858520900321,0.00966183574879227,-0.0110410094637224,115339
2018-11-30,"Brownsville, TX","TX",122,929,-0.00959488272921109,-0.0117021276595745,-0.00535331905781585,129213
2018-11-30,"Killeen, TX","TX",123,1008,0.00900900900900901,0.0130653266331658,-0.0136986301369863,126516
2018-11-30,"Canton, OH","OH",124,944,0.00318809776833156,0.00425531914893617,-0.00421940928270042,143575
2018-11-30,"Beaumont, TX","TX",125,1201,0,0.00250417362270451,0.0300171526586621,131517
2018-11-30,"Manchester, NH","NH",126,1794,0.0135593220338983,0.0170068027210884,-0.00883977900552486,150612
2018-11-30,"Salem, OR","OR",127,1518,0.011325782811459,0.0147058823529412,-0.016202203499676,104443
2018-11-30,"Anchorage, AK","AK",128,1742,0.00172512938470385,0.00345622119815668,-0.0229949523275379,107983
2018-11-30,"Davenport, IL","IL",129,947,-0.00210748155953635,-0.00210748155953635,-0.0955109837631328,140991
2018-11-30,"Myrtle Beach, SC","SC",130,1270,0.0127591706539075,0.0168134507606085,-0.0109034267912773,245917
2018-11-30,"Montgomery, AL","AL",131,938,-0.00106496272630458,-0.00212765957446809,0.0075187969924812,147717
2018-11-30,"Salisbury, MD","DE",132,1319,-0.0052790346907994,-0.0156716417910448,0.0177469135802469,199725
2018-11-30,"Gulfport, MS","MS",133,1027,0.0108267716535433,0.0198609731876862,0.0363269424823411,121814
2018-11-30,"Tallahassee, FL","FL",134,1208,0.00582847626977519,0.00750625521267723,0.0159798149705635,103203
2018-11-30,"Trenton, NJ","NJ",135,1886,0.0026581605528974,0.000530503978779841,-0.0207684319833853,114799
2018-11-30,"Fayetteville, NC","NC",136,894,0.00111982082866741,0.00336700336700337,0.00449438202247191,67799
2018-11-30,"Hickory, NC","NC",137,972,0.0210084033613445,0.0253164556962025,0.0253164556962025,166256
2018-11-30,"Huntington, WV","WV",138,930,-0.00214592274678112,0.00431965442764579,0.0449438202247191,118204
2018-11-30,"Eugene, OR","OR",139,1416,0.00998573466476462,0.0128755364806867,-0.0028169014084507,94882
2018-11-30,"Rockford, IL","IL",140,1067,0.0220306513409962,0.026948989412897,-0.0343891402714932,114654
2018-11-30,"Savannah, GA","GA",141,1276,0.00630914826498423,0.00949367088607595,-0.000783085356303837,126596
2018-11-30,"Ann Arbor, MI","MI",142,1867,-0.00160427807486631,0,0.0471116096466629,113638
2018-11-30,"Ocala, FL","FL",143,1150,0.00612423447069116,0.00788781770376862,0.0186005314437555,121252
2018-11-30,"Kalamazoo, MI","MI",144,1220,0.0141313383208645,0.020066889632107,0.023489932885906,121129
2018-11-30,"South Bend, IN","IN",145,982,0.0165631469979296,0.0218522372528616,-0.0344149459193707,127526
2018-11-30,"Spartanburg, SC","SC",146,1096,0.00182815356489945,0.00274473924977127,-0.0231729055258467,103639
2018-11-30,"Evansville, IN","IN",147,995,0.00505050505050505,0.00505050505050505,0,115901
2018-11-30,"Kingsport, TN","TN",148,970,0.0178384050367261,0.0221285563751317,-0.031936127744511,113031
2018-11-30,"Roanoke, VA","VA",149,1156,0.00960698689956332,0.0122591943957968,0.0113735783027122,130144
2018-11-30,"Lincoln, NE","NE",150,1296,0.00232018561484919,0.00387296669248644,0.00154559505409583,93628
2018-11-30,"Fort Collins, CO","CO",151,1741,0.000574712643678161,0.00115008625646924,0.00577700751010976,116252
2018-11-30,"Columbus, GA","GA",152,899,0.00559284116331096,0.007847533632287,0.00446927374301676,91865
2018-11-30,"Boulder, CO","CO",153,2249,0.00626398210290828,0.00716524854455889,0.0246013667425968,106900
2018-11-30,"Lubbock, TX","TX",154,1144,0.00175131348511384,0.00350877192982456,-0.00780572419774501,87320
2018-11-30,"Erie, PA","PA",155,944,0.00318809776833156,0.00425531914893617,-0.0227743271221532,83063
2018-11-30,"Fort Smith, AR","AR",156,851,0,0.00235571260306243,-0.0229621125143513,78802
2018-11-30,"Duluth, MN","MN",157,1134,-0.0164787510841284,-0.0181818181818182,-0.0173310225303293,117316
2018-11-30,"Atlantic City, NJ","NJ",158,1447,0.00207756232686981,0.00207756232686981,-0.0391766268260292,112858
2018-11-30,"New London, CT","CT",159,1474,0.00340367597004765,0.00272108843537415,-0.0422352176738142,94250
2018-11-30,"San Luis Obispo, CA","CA",160,2447,0.00204750204750205,0.00286885245901639,-0.00850891410048622,87790
2018-11-30,"Gainesville, FL","FL",161,1306,0.0061633281972265,0.00927357032457496,0.0506838294448914,74469
2018-11-30,"Santa Cruz, CA","CA",162,3032,0.0106666666666667,0.0126920507682031,0.00165180046250413,64124
2018-11-30,"Clarksville, TN","TN",163,981,0.0102986611740474,0.0102986611740474,-0.0238805970149254,91943
2018-11-30,"Cedar Rapids, IA","IA",164,1111,-0.00714924039320822,-0.0124444444444444,0.00908265213442325,105931
2018-11-30,"Merced, CA","CA",165,1309,0.0131578947368421,0.016304347826087,0.0315208825847124,60843
2018-11-30,"Wilmington, NC","NC",166,1352,0.0127340823970037,0.0127340823970037,-0.00294985250737463,116808
2018-11-30,"Kennewick, WA","WA",167,1449,0.00625,0.00764951321279555,-0.00343878954607978,76865
2018-11-30,"Greeley, CO","CO",168,1668,0.0102967898243489,0.0139817629179331,0.0340979541227526,92809
2018-11-30,"Waco, TX","TX",169,1171,0.0121002592912705,0.0164930555555556,0.022707423580786,74568
2018-11-30,"Lynchburg, VA","VA",170,1117,0.0126926563916591,0.017304189435337,0,82901
2018-11-30,"Olympia, WA","WA",171,1663,0.0103280680437424,0.0140243902439024,0.0316377171215881,91697
2018-11-30,"Amarillo, TX","TX",172,1187,-0.00168208578637511,-0.00252100840336134,-0.00252100840336134,79553
2018-11-30,"Binghamton, NY","NY",173,1200,-0.00497512437810945,-0.00826446280991736,0.0247651579846285,73137
2018-11-30,"Hagerstown, WV","MD",174,1199,0.00418760469011725,0.00587248322147651,0,89285
2018-11-30,"Bremerton, WA","WA",175,1752,0.00805523590333717,0.0127167630057803,0.019790454016298,85563
2018-11-30,"Laredo, TX","TX",176,1118,0.013599274705349,0.0172884440400364,-0.0192982456140351,57225
2018-11-30,"Yakima, WA","WA",177,1151,0.003487358326068,0.003487358326068,-0.0103181427343078,66370
2018-11-30,"Crestview-Fort Walton Beach-Destin, FL","FL",178,1480,0.0109289617486339,0.0143934201507882,-0.0126751167444963,126955
2018-11-30,"Topeka, KS","KS",179,929,0.0208791208791209,0.0276548672566372,-0.0332986472424558,80278
2018-11-30,"Macon-Bibb County, GA","GA",180,992,0.00303336703741153,0.00303336703741153,-0.00998003992015968,61799
2018-11-30,"Champaign-Urbana, IL","IL",181,1135,0.000881834215167548,0.00353669319186561,0.00353669319186561,72344
2018-11-30,"Tuscaloosa, AL","AL",182,1238,-0.000807102502017756,-0.000807102502017756,0.0663221360895779,102096
2018-11-30,"College Station, TX","TX",183,1391,-0.00429491768074445,-0.0050071530758226,0.0138483965014577,56965
2018-11-30,"Sioux Falls, SD","SD",184,1179,0.0051150895140665,0.0051150895140665,-0.0256198347107438,62163
2018-11-30,"Charleston, WV","WV",185,871,-0.015819209039548,-0.0202474690663667,0.0319905213270142,111470
2018-11-30,"Chico, CA","CA",186,1460,0.00343642611683849,0.00550964187327824,0.061046511627907,61206
2018-11-30,"Charlottesville, VA","VA",187,1481,0.0157750342935528,0.0206753962784287,0.0227900552486188,80797
2018-11-30,"Claremont, NH","NH",188,1448,0.0175685172171469,0.0197183098591549,-0.00957592339261286,102171
2018-11-30,"Barnstable Town, MA","MA",189,1826,0.00772626931567329,0.0144444444444444,-0.0543759709994821,151667
2018-11-30,"Longview, TX","TX",190,1192,0.004212299915754,0.00590717299578059,0.004212299915754,54803
2018-11-30,"Prescott, AZ","AZ",191,1557,0,0.0025756600128783,0.042866711319491,80064
2018-11-30,"Tyler, TX","TX",192,1221,0.00659521846661171,0.00742574257425743,-0.00892857142857143,61047
2018-11-30,"Las Cruces, NM","NM",193,1030,0.0048780487804878,0.00684261974584555,0.0351758793969849,55545
2018-11-30,"Fargo, ND","ND",194,1304,0.00230591852421214,0.00384911470361817,-0.0304832713754647,54461
2018-11-30,"Rochester, MN","MN",195,1328,0.0129672006102212,0.0152905198776758,-0.014105419450631,80016
2018-11-30,"Florence, SC","SC",196,959,0.0148148148148148,0.0202127659574468,-0.069835111542192,75015
2018-11-30,"Medford, OR","OR",197,1529,0.00459921156373193,0.00459921156373193,-0.0160875160875161,51425
2018-11-30,"Lafayette-West Lafayette, IN","IN",198,1115,0.0145586897179254,0.0173357664233577,-0.0210711150131694,57461
2018-11-30,"Bellingham, WA","WA",199,1591,0.0331168831168831,0.0351333767078725,-0.0432952495490078,72149
2018-11-30,"Lake Havasu City, AZ","AZ",200,1237,-0.000807754442649435,-0.00161420500403551,0.0756521739130435,73887
2018-11-30,"Johnson City, TN","TN",201,949,0.0149732620320856,0.0204301075268817,-0.0404448938321537,87516
2018-11-30,"Yuma, AZ","AZ",202,902,0.00222222222222222,0.0044543429844098,0.0044543429844098,44434
2018-11-30,"Racine, WI","WI",203,1153,0.0194518125552608,0.0239786856127886,-0.0220525869380831,63480
2018-11-30,"Athens, GA","GA",204,1225,0.0174418604651163,0.0216847372810676,0.0216847372810676,58481
2018-11-30,"Torrington, CT","CT",205,1573,0.00898011545862733,0.0220922677063028,0.0417218543046358,73564
2018-11-30,"St. Cloud, MN","MN",206,1305,0.00384615384615385,0.00694444444444444,0.044835868694956,61944
2018-11-30,"Hilton Head Island, SC","SC",207,1763,0.00570450656018254,0.00570450656018254,0.0155529953917051,92878
2018-11-30,"Hilo, HI","HI",208,1743,0.00577034045008656,0.00577034045008656,0.0210896309314587,68071
2018-11-30,"Panama City, FL","FL",209,1311,0.0147058823529412,0.0186480186480186,0.0488,87114
2018-11-30,"Kingston, NY","NY",210,1693,0.0101431980906921,0.00954084675014908,0.0113500597371565,58168
2018-11-30,"Daphne, AL","AL",211,1382,0.0124542124542125,0.0139398385913426,-0.0177683013503909,90463
2018-11-30,"Gainesville, GA","GA",212,1328,0.00988593155893536,0.0129672006102212,-0.0052434456928839,54401
2018-11-30,"Warner Robins, GA","GA",213,999,0.00807265388496468,0.00909090909090909,0.00503018108651911,58516
2018-11-30,"Blacksburg, VA","VA",214,1149,0.005249343832021,0.00612959719789842,-0.00948275862068966,51355
2018-11-30,"Jacksonville, NC","NC",215,894,0.00449438202247191,0.00562429696287964,0.0170648464163823,62730
2018-11-30,"Redding, CA","CA",216,1367,0.0140949554896142,0.0178704393149665,0.0555984555984556,50960
2018-11-30,"Joplin, MO","MO",217,793,-0.00251572327044025,-0.00251572327044025,-0.0305623471882641,38959
2018-11-30,"El Centro, CA","CA",218,1086,0.0492753623188406,0.06158357771261,-0.051528384279476,35220
2018-11-30,"Terre Haute, IN","IN",219,750,0.00401606425702811,0.00536193029490617,-0.0601503759398496,60018
2018-11-30,"East Stroudsburg, PA","PA",220,1296,-0.000771010023130301,0,0.00154559505409583,76292
2018-11-30,"Sioux City, IA","IA",221,1042,0,0.00192307692307692,0.00385356454720617,54303
2018-11-30,"Greenville, NC","NC",222,1009,0.014070351758794,0.0243654822335025,0.0202224469160768,55463
2018-11-30,"Yuba City, CA","CA",223,1452,0.00973574408901252,0.0118466898954704,0.0254237288135593,42987
2018-11-30,"Abilene, TX","TX",224,1020,0.0149253731343284,0.018981018981019,-0.0211132437619962,50264
2018-11-30,"Columbia, MO","MO",225,1109,0.00452898550724638,0.00361990950226244,-0.00716204118173679,48250
2018-11-30,"Dover, DE","DE",226,1253,0.0024,0.00320256204963971,-0.0126083530338849,48954
2018-11-30,"Eau Claire, WI","WI",227,1058,0.0153550863723608,0.0124401913875598,-0.119800332778702,50246
2018-11-30,"Janesville, WI","WI",228,830,0.0401002506265664,0.047979797979798,-0.0535917901938426,64866
2018-11-30,"Jackson, MI","MI",229,1020,0.00196463654223969,0.0099009900990099,0.0932475884244373,62131
2018-11-30,"Punta Gorda, FL","FL",230,1691,0.00356083086053412,0.00356083086053412,0.0418977202711029,91308
2018-11-30,"Bloomington, IN","IN",231,1207,0.00499583680266445,0.00667222685571309,0.00583333333333333,55794
2018-11-30,"Pueblo, CO","CO",232,1110,0.00725952813067151,0.0100090991810737,-0.0472103004291846,56758
2018-11-30,"Billings, MT","MT",233,1243,0.00647773279352227,0.00647773279352227,-0.0386697602474865,54324
2018-11-30,"Bowling Green, KY","KY",234,1038,0.0318091451292246,0.039039039039039,-0.0606334841628959,40360
2018-11-30,"Bend, OR","OR",235,1692,0.0119617224880383,0.0137807070101857,-0.00994733762434172,64869
2018-11-30,"Albany, GA","GA",236,928,0.00869565217391304,0.0131004366812227,0.0197802197802198,38484
2018-11-30,"Vineland, NJ","NJ",237,1274,-0.0062402496099844,-0.00546448087431694,0.0257648953301127,44024
2018-11-30,"Ottawa, IL","IL",238,1020,0.0159362549800797,0.021021021021021,-0.0422535211267606,58012
2018-11-30,"State College, PA","PA",239,1462,0.0166898470097357,0.0216631726065688,0.0346779900920028,31610
2018-11-30,"Bangor, ME","ME",240,1198,-0.000834028356964137,0,-0.0268074735987002,52672
2018-11-30,"Alexandria, LA","LA",241,1107,0.00727934485896269,0.00727934485896269,0.0316868592730662,37489
2018-11-30,"Decatur, AL","AL",242,836,-0.00594530321046373,-0.00594530321046373,-0.001194743130227,56525
2018-11-30,"Hanford, CA","CA",243,1172,0.0112165660051769,0.0155979202772964,0.021795989537925,28691
2018-11-30,"Iowa City, IA","IA",244,1422,-0.0111265646731572,-0.0131852879944483,0.0494464944649447,53681
2018-11-30,"Wichita Falls, TX","TX",245,899,0,0.00111358574610245,0.00111358574610245,45135
2018-11-30,"Burlington, NC","NC",246,982,0.0282722513089005,0.0347734457323498,0.0165631469979296,50348
2018-11-30,"Madera, CA","CA",247,1301,0.00696594427244582,0.0116640746500778,0.0778790389395195,38149
2018-11-30,"Jefferson City, MO","MO",248,930,0.0075839653304442,0.0075839653304442,-0.0200210748155954,41743
2018-11-30,"Chambersburg, PA","PA",249,1126,0.00535714285714286,0,-0.012280701754386,43941
2018-11-30,"Texarkana, TX","TX",250,1060,-0.0381125226860254,-0.0398550724637681,0.187010078387458,37527
2018-11-30,"Elizabethtown, KY","KY",251,1011,0.00797607178464606,0.00697211155378486,-0.0155793573515093,39811
2018-11-30,"Florence, AL","AL",252,869,0.00929152148664344,0.0128205128205128,-0.00912200684150513,54372
2018-11-30,"Grand Junction, CO","CO",253,1231,0.0207296849087894,0.0266889074228524,0.0318524727577536,52861
2018-11-30,"Concord, NH","NH",254,1604,0.0025,0.00375469336670839,0.0242656449553001,54609
2018-11-30,"Dothan, AL","AL",255,902,0.00782122905027933,0.0100783874580067,-0.0077007700770077,42541
2018-11-30,"Santa Fe, NM","NM",256,1790,0.0187820147979511,0.0234419668381933,0.031700288184438,57316
2018-11-30,"Johnstown, PA","PA",257,663,-0.00896860986547085,-0.0163204747774481,-0.0880330123796424,46610
2018-11-30,"Traverse City, MI","MI",258,1315,0.0193798449612403,0.0217560217560218,-0.013503375843961,88681
2018-11-30,"Hattiesburg, MS","MS",259,1111,0.0127620783956244,0.0155393053016453,0.00452079566003617,42724
2018-11-30,"Dalton, GA","GA",260,1084,0.00649953574744661,0.00184842883548983,0.0333651096282174,33291
2018-11-30,"Homosassa Springs, FL","FL",261,1195,0.00167644593461861,0.00335852225020991,0.0409407665505226,59791
2018-11-30,"Auburn, AL","AL",262,1218,-0.00571428571428571,-0.0121654501216545,-0.01535974130962,38512
2018-11-30,"Valdosta, GA","GA",263,970,0.0157068062827225,0.0210526315789474,0.0286320254506893,37269
2018-11-30,"Coeur d'Alene, ID","ID",264,1414,0.01,0.0121689334287759,-0.00211714890613973,66630
2018-11-30,"Springfield, OH","OH",265,802,0.00880503144654088,0.0100755667506297,0.0100755667506297,48139
2018-11-30,"St. George, UT","UT",266,1432,0.0163236337828247,0.0184921763869132,-0.00139470013947001,57871
2018-11-30,"Vero Beach, FL","FL",267,1537,0.00195567144719687,0,0.0441576086956522,69255
2018-11-30,"Napa, CA","CA",268,2900,0.013277428371768,0.0179010179010179,0.0665685913938948,32487
2018-11-30,"Tupelo, MS","MS",269,1091,-0.00182982616651418,-0.00182982616651418,0.061284046692607,37385
2018-11-30,"Eureka, CA","CA",270,1471,0.0179930795847751,0.0293911826452064,0.0381086803105152,30403
2018-11-30,"Rapid City, SD","SD",271,1274,0.0111111111111111,0.0135242641209228,-0.0192455735180908,32839
2018-11-30,"Lumberton, NC","NC",272,829,0.00729040097205346,0.01468788249694,0.0336658354114713,17557
2018-11-30,"Wausau, WI","WI",273,1001,0.00502008032128514,0.00401203610832497,-0.081651376146789,52238
2018-11-30,"Lebanon, PA","PA",274,1160,0.0166520595968449,0.0184372256365233,0.0338680926916221,39463
2018-11-30,"Idaho Falls, ID","ID",275,1117,0.0163785259326661,0.0228937728937729,-0.0141218005295675,43427
2018-11-30,"Sierra Vista, AZ","AZ",276,868,0.0163934426229508,0.014018691588785,0.0321046373365042,36302
2018-11-30,"Lawton, OK","OK",277,724,0.00695410292072323,0.0111731843575419,0.0357653791130186,41394
2018-11-30,"Farmington, NM","NM",278,1108,0.00453309156844968,0.00818926296633303,-0.00805729632945389,27234
2018-11-30,"Jackson, TN","TN",279,900,0.00558659217877095,0.00671140939597316,0.0169491525423729,55747
2018-11-30,"Morgantown, WV","WV",280,1142,0.00351493848857645,0.00616740088105727,0.0535055350553506,43015
2018-11-30,"Winchester, VA","VA",281,1356,0.00370096225018505,0.00518902891030393,0.0111856823266219,43451
2018-11-30,"New Bern, NC","NC",282,1011,0.017102615694165,0.0191532258064516,0.0140421263791374,42177
2018-11-30,"Logan, ID","UT",283,1113,-0.0115452930728242,-0.0193832599118943,-0.0279475982532751,10890
2018-11-30,"Harrisonburg, VA","VA",284,1174,0.0262237762237762,0.0298245614035088,-0.0249169435215947,33469
2018-11-30,"Beckley, WV","WV",285,770,0.0171730515191546,0.011826544021025,-0.0240811153358682,41119
2018-11-30,"Weirton, OH","OH",286,779,-0.0114213197969543,-0.0126742712294043,0.0512820512820513,45732
2018-11-30,"Goldsboro, NC","NC",287,923,0.0289855072463768,0.0335946248600224,0.0109529025191676,13044
2018-11-30,"Augusta, ME","ME",288,1038,0.0559511698880977,0.0668036998972251,-0.0715563506261181,50750
2018-11-30,"Hammond, LA","LA",289,1189,0.000841750841750842,0,-0.0278004905968929,31416
2018-11-30,"Jonesboro, AR","AR",290,1000,-0.00299102691924227,0.001001001001001,0.0319917440660475,38232
2018-11-30,"Sherman, TX","TX",291,1200,0.0362694300518135,0.046207497820401,0.0554089709762533,42976
2018-11-30,"Anniston, AL","AL",292,763,0.00527009222661397,0.0105960264900662,0.0324763193504736,45591
2018-11-30,"Staunton, VA","VA",293,1236,0.00569568755085435,0.00324675324675325,0.0282861896838602,42333
2018-11-30,"Mount Vernon, WA","WA",294,1693,0.00177514792899408,0.00534441805225653,0.0137724550898204,51643
2018-11-30,"Albany, OR","OR",295,1395,0.00576784426820476,0.0138081395348837,0.0906958561376075,32567
2018-11-30,"Watertown, NY","NY",296,1189,0.00507185122569738,0.00677392040643522,-0.00668337510442774,28807
2018-11-30,"Williamsport, PA","PA",297,1008,0.0285714285714286,0.0359712230215827,0.0632911392405063,34773
2018-11-30,"Cleveland, TN","TN",298,990,0.00303951367781155,0.00609756097560976,0.0153846153846154,51214
2018-11-30,"Sheboygan, WI","WI",299,1083,0.00463821892393321,0.00370713623725672,-0.0163487738419619,37433
2018-11-30,"Owensboro, KY","KY",300,956,0.0181043663471778,0.0224598930481283,-0.00726895119418484,35549
2018-11-30,"Dunn, NC","NC",301,1131,0.00265957446808511,0.00177147918511957,0.0281818181818182,24819
2018-11-30,"Wooster, OH","OH",302,1121,-0.0149384885764499,-0.0149384885764499,-0.0475785896346644,32867
2018-11-30,"Morristown, TN","TN",303,1010,0.0130391173520562,0.0181451612903226,0.00597609561752988,46524
2018-11-30,"Kankakee, IL","IL",304,1088,0.010213556174559,0.00834105653382762,-0.0826306913996627,35128
2018-11-30,"Brunswick, GA","GA",305,1333,0.0052790346907994,0.00832072617246596,0.0325329202168861,40007
